SCHOOL NAME,LINK TO MENU,API LINK,API MESSAGES,MENU TYPE,,
Central Bucks South High - Central Bucks School District - PA,https://cbsd.nutrislice.com/menu/central-bucks-south-high/lunch/2026-03-18,https://cbsd.api.nutrislice.com/menu/api/weeks/school/central-bucks-south-high/menu-type/lunch/2026/03/01/,https://cbsd.api.nutrislice.com/menu/api/messages/school/73/menu-type/17/,"17,","73,",
Central Bucks West High - Central Bucks School District - PA,https://cbsd.nutrislice.com/menu/central-bucks-west-high/lunch/2026-03-18,https://cbsd.api.nutrislice.com/menu/api/weeks/school/central-bucks-west-high/menu-type/lunch/2026/03/01/,https://cbsd.api.nutrislice.com/menu/api/messages/school/73/menu-type/17/,"17,","73,",
Council Rock High School North - Council Rock School District - PA,https://crsd.nutrislice.com/menu/council-rock-high-school-north/lunch/2026-03-18,https://crsd.api.nutrislice.com/menu/api/weeks/school/council-rock-high-school-north/menu-type/lunch/2026/03/01/,https://crsd.api.nutrislice.com/menu/api/messages/school/8252/menu-type/6281/,"6281,","8252,",
Council Rock High School South - Council Rock School District - PA,https://crsd.nutrislice.com/menu/council-rock-high-school-south/lunch/2026-03-18,https://crsd.api.nutrislice.com/menu/api/weeks/school/council-rock-high-school-south/menu-type/lunch/2026/03/01/,https://crsd.api.nutrislice.com/menu/api/messages/school/8252/menu-type/6281/,"6281,","8252,",
Pennsbury High - Pennsbury School District - PA,https://pennsbury.nutrislice.com/menu/pennsbury/lunch/2026-03-18,https://pennsbury.api.nutrislice.com/menu/api/weeks/school/pennsbury/menu-type/lunch/2026/03/01/,https://pennsbury.api.nutrislice.com/menu/api/messages/school/205/menu-type/152/,"152,","205,",
Mars Area High School - Mars Area School District - PA,http://marsareasd.nutrislice.com/menu/mars-area/lunch/2026-03-18,https://marsareasd.api.nutrislice.com/menu/api/weeks/school/mars-area/menu-type/lunch/2026/03/01/,https://marsareasd.api.nutrislice.com/menu/api/messages/school/112/menu-type/92/,"92,","112,",
Mars Area Middle School - Mars Area School District - PA,https://marsareasd.nutrislice.com/menu/mars-area-ms/lunch/2026-03-18,https://marsareasd.api.nutrislice.com/menu/api/weeks/school/mars-area-ms/menu-type/lunch/2026/03/01/,https://marsareasd.api.nutrislice.com/menu/api/messages/school/112/menu-type/92/,"92,","112,",
Greater Johnstown Middle - Greater Johnstown School District - PA,https://gjsd.nutrislice.com/menu/greater-johnstown-ms/lunch/2026-03-18,https://gjsd.api.nutrislice.com/menu/api/weeks/school/greater-johnstown-ms/menu-type/lunch/2026/03/01/,https://gjsd.api.nutrislice.com/menu/api/messages/school/178/menu-type/16329/,"16329,","178,",
Greater Johnstown Senior High - Greater Johnstown School District - PA,https://gjsd.nutrislice.com/menu/greater-johnstown-hs/lunch/2026-03-18,https://gjsd.api.nutrislice.com/menu/api/weeks/school/greater-johnstown-hs/menu-type/lunch/2026/03/01/,https://gjsd.api.nutrislice.com/menu/api/messages/school/178/menu-type/16329/,"16329,","178,",
Northern Cambria High - North Cambria School District - PA,https://ncsd1.nutrislice.com/menu/northern-cambria-high/lunch/2026-03-18,https://ncsd1.api.nutrislice.com/menu/api/weeks/school/northern-cambria-high/menu-type/lunch/2026/03/01/,https://ncsd1.api.nutrislice.com/menu/api/messages/school/1386/menu-type/1328/,"1328,","1386,",
Penn Cambria High - Penn Cambria School District - PA,https://pcam.nutrislice.com/menu/penn-cambria-high/lunch/2026-03-18,https://pcam.api.nutrislice.com/menu/api/weeks/school/penn-cambria-high/menu-type/lunch/2026/03/01/,https://pcam.api.nutrislice.com/menu/api/messages/school/1337/menu-type/1302/,"1302,","1337,",
Penn Cambria Middle - Penn Cambria School District - PA,https://pcam.nutrislice.com/menu/penn-cambria-middle/lunch/2026-03-18,https://pcam.api.nutrislice.com/menu/api/weeks/school/penn-cambria-middle/menu-type/lunch/2026/03/01/,https://pcam.api.nutrislice.com/menu/api/messages/school/1337/menu-type/1302/,"1302,","1337,",
Cameron County High School - Cameron County SD - PA,https://camcosd.nutrislice.com/menu/cameron-county-school-district/lunch/2026-03-18,https://camcosd.api.nutrislice.com/menu/api/weeks/school/cameron-county-school-district/menu-type/lunch/2026/03/01/,https://camcosd.api.nutrislice.com/menu/api/messages/school/4684/menu-type/4779/,"4779,","4684,",
Jim Thorpe Area High School - Jim Thorpe Area School District - PA,https://jimthorpesd.nutrislice.com/menu/jim-thorpe-area/lunch/2026-03-18,https://jimthorpesd.api.nutrislice.com/menu/api/weeks/school/jim-thorpe-area/menu-type/lunch/2026/03/01/,https://jimthorpesd.api.nutrislice.com/menu/api/messages/school/175/menu-type/78/,"78,","175,",
Lehighton High School - Lehighton Area School District - PA,https://lehighton.nutrislice.com/menu/lehighton-high/lunch/2026-03-18,https://lehighton.api.nutrislice.com/menu/api/weeks/school/lehighton-high/menu-type/lunch/2026/03/01/,https://lehighton.api.nutrislice.com/menu/api/messages/school/1034/menu-type/1115/,"1115,","1034,",
Panther Valley Junior/Senior High - Panther Valley School District - PA,https://panthervalley.nutrislice.com/menu/panther-valley-juniorsenior-high/lunch/2026-03-18,https://panthervalley.api.nutrislice.com/menu/api/weeks/school/panther-valley-juniorsenior-high/menu-type/lunch/2026/03/01/,https://panthervalley.api.nutrislice.com/menu/api/messages/school/1449/menu-type/1369/,"1369,","1449,",
Weatherly Area High School - Weatherly Area School District - PA,https://weatherlysd.nutrislice.com/menu/weatherly-high/lunch/2026-03-18,https://weatherlysd.api.nutrislice.com/menu/api/weeks/school/weatherly-high/menu-type/lunch/2026/03/01/,https://weatherlysd.api.nutrislice.com/menu/api/messages/school/1175/menu-type/1208/,"1208,","1175,",
Weatherly Area Elementary/Middle School - Weatherly Area School District - PA,https://weatherlysd.nutrislice.com/menu/weatherly-elementary-middle/lunch/2026-03-18,https://weatherlysd.api.nutrislice.com/menu/api/weeks/school/weatherly-elementary-middle/menu-type/lunch/2026/03/01/,https://weatherlysd.api.nutrislice.com/menu/api/messages/school/1175/menu-type/1208/,"1208,","1175,",
Moshannon Valley Jr./Sr. High - Moshannon Valley School District - PA,https://movalley.nutrislice.com/menu/moshannon-valley-jrsr-high/lunch/2026-03-18,https://movalley.api.nutrislice.com/menu/api/weeks/school/moshannon-valley-jrsr-high/menu-type/lunch/2026/03/01/,https://movalley.api.nutrislice.com/menu/api/messages/school/954/menu-type/1073/,"1073,","954,",
Benton Area High - Benton Area School District - PA,https://bentonschools.nutrislice.com/menu/benton-high-school/lunch/2026-03-18,https://bentonschools.api.nutrislice.com/menu/api/weeks/school/benton-high-school/menu-type/lunch/2026/03/01/,https://bentonschools.api.nutrislice.com/menu/api/messages/school/1301/menu-type/190/,"190,","1301,",
Penncrest High School - Rose Tree Media School District - PA,https://rtmsd.nutrislice.com/menu/penncrest-high-school/lunch/2026-03-18,https://rtmsd.api.nutrislice.com/menu/api/weeks/school/penncrest-high-school/menu-type/lunch/2026/03/01/,https://rtmsd.api.nutrislice.com/menu/api/messages/school/41572/menu-type/9961/,"9961,","41572,",
Big Spring High - Big Spring School District - PA,https://bigspringsd.nutrislice.com/menu/big-spring-high/lunch/2026-03-18,https://bigspringsd.api.nutrislice.com/menu/api/weeks/school/big-spring-high/menu-type/lunch/2026/03/01/,https://bigspringsd.api.nutrislice.com/menu/api/messages/school/1309/menu-type/374/,"374,","1309,",
Big Spring Middle - Big Spring School District - PA,https://bigspringsd.nutrislice.com/menu/big-spring-middle/lunch/2026-03-18,https://bigspringsd.api.nutrislice.com/menu/api/weeks/school/big-spring-middle/menu-type/lunch/2026/03/01/,https://bigspringsd.api.nutrislice.com/menu/api/messages/school/1309/menu-type/374/,"374,","1309,",
Boiling Springs High - South Middleton School District - PA,https://smsd.nutrislice.com/menu/boiling-springs-high/lunch/2026-03-18,https://smsd.api.nutrislice.com/menu/api/weeks/school/boiling-springs-high/menu-type/lunch/2026/03/01/,https://smsd.api.nutrislice.com/menu/api/messages/school/6068/menu-type/2209/,"2209,","6068,",
Lower Dauphin High School - Lower Dauphin School District - PA,https://ldsd.nutrislice.com/menu/lower-dauphin-high-school/lunch/2026-03-18,https://ldsd.api.nutrislice.com/menu/api/weeks/school/lower-dauphin-high-school/menu-type/lunch/2026/03/01/,https://ldsd.api.nutrislice.com/menu/api/messages/school/1376/menu-type/392/,"392,","1376,",
Lower Dauphin Middle School - Lower Dauphin School District - PA,https://ldsd.nutrislice.com/menu/lower-dauphin/lunch/2026-03-18,https://ldsd.api.nutrislice.com/menu/api/weeks/school/lower-dauphin/menu-type/lunch/2026/03/01/,https://ldsd.api.nutrislice.com/menu/api/messages/school/1376/menu-type/392/,"392,","1376,",
Steelton-Highspire Jr. Sr. High School - Steelton-Highspire School District - PA,https://shsd.nutrislice.com/menu/high-school/lunch/2026-03-18,https://shsd.api.nutrislice.com/menu/api/weeks/school/high-school/menu-type/lunch/2026/03/01/,https://shsd.api.nutrislice.com/menu/api/messages/school/3650/menu-type/827/,"827,","3650,",
Millersburg Area High School/ Middle School - Millersburg Area School District - PA,https://mlbgsd.nutrislice.com/menu/millersburg-area-high-school-middle-school/lunch/2026-03-18,https://mlbgsd.api.nutrislice.com/menu/api/weeks/school/millersburg-area-high-school-middle-school/menu-type/lunch/2026/03/01/,https://mlbgsd.api.nutrislice.com/menu/api/messages/school/1458/menu-type/1383/,"1383,","1458,",
Garnet Valley High School - Garnet Valley School District - PA,https://garnetvalleyschools.nutrislice.com/menu/garnet-valley-high-school/lunch/2026-03-18,https://garnetvalleyschools.api.nutrislice.com/menu/api/weeks/school/garnet-valley-high-school/menu-type/lunch/2026/03/01/,https://garnetvalleyschools.api.nutrislice.com/menu/api/messages/school/2603/menu-type/767/,"767,","2603,",
Garnet Valley Middle School - Garnet Valley School District - PA,https://garnetvalleyschools.nutrislice.com/menu/garnet-valley-middle-school/lunch/2026-03-18,https://garnetvalleyschools.api.nutrislice.com/menu/api/weeks/school/garnet-valley-middle-school/menu-type/lunch/2026/03/01/,https://garnetvalleyschools.api.nutrislice.com/menu/api/messages/school/2603/menu-type/767/,"767,","2603,",
Interboro High - Interboro School District - PA,https://interborosd.nutrislice.com/menu/interboro-high/high-school-lunch-2023-2024/2026-03-18,https://interborosd.api.nutrislice.com/menu/api/weeks/school/interboro-high/menu-type/high-school-lunch-2023-2024/2026/03/01/,https://interborosd.api.nutrislice.com/menu/api/messages/school/4873/menu-type/21412/,"21412,","4873,",
Springfield Middle School - Springfield School District - PA,https://springfield-schools.nutrislice.com/menu/springfield-middle-school/lunch/2026-03-18,https://springfield-schools.api.nutrislice.com/menu/api/weeks/school/springfield-middle-school/menu-type/lunch/2026/03/01/,https://springfield-schools.api.nutrislice.com/menu/api/messages/school/16230/menu-type/7907/,"7907,","16230,",
Springfield High School - Springfield School District - PA,https://springfield-schools.nutrislice.com/menu/springfield-high-school/lunch/2026-03-18,https://springfield-schools.api.nutrislice.com/menu/api/weeks/school/springfield-high-school/menu-type/lunch/2026/03/01/,https://springfield-schools.api.nutrislice.com/menu/api/messages/school/16230/menu-type/7907/,"7907,","16230,",
William Penn High School - York City School District - PA,https://ycs.nutrislice.com/menu/william-penn-high-school/lunch/2026-03-18,https://ycs.api.nutrislice.com/menu/api/weeks/school/william-penn-high-school/menu-type/lunch/2026/03/01/,https://ycs.api.nutrislice.com/menu/api/messages/school/4399/menu-type/2684/,"2684,","4399,",
William Penn Middle - Pennsbury School District - PA,https://pennsbury.nutrislice.com/menu/william-penn/lunch/2026-03-18,https://pennsbury.api.nutrislice.com/menu/api/weeks/school/william-penn/menu-type/lunch/2026/03/01/,https://pennsbury.api.nutrislice.com/menu/api/messages/school/205/menu-type/152/,"152,","205,",
 Bishop Guilfoyle Catholic High School - PA,https://bishopguilfoyle.nutrislice.com/menu/high-school/lunch/2026-03-18,https://bishopguilfoyle.api.nutrislice.com/menu/api/weeks/school/high-school/menu-type/lunch/2026/03/01/,https://bishopguilfoyle.api.nutrislice.com/menu/api/messages/school/1435/menu-type/1365/,"1365,","1435,",
Indiana Area Senior High School - Indiana Area School District - PA,https://iasd.nutrislice.com/menu/indiana-area-senior-high-school/lunch/2026-03-18,https://iasd.api.nutrislice.com/menu/api/weeks/school/indiana-area-senior-high-school/menu-type/lunch/2026/03/01/,https://iasd.api.nutrislice.com/menu/api/messages/school/1615/menu-type/464/,"464,","1615,",
Carbondale Area Jr/Sr HS - Carbondale Area School District - PA,https://ca.nutrislice.com/menu/carbondale-area-jrsr-hs/lunch/2026-03-18,https://ca.api.nutrislice.com/menu/api/weeks/school/carbondale-area-jrsr-hs/menu-type/lunch/2026/03/01/,https://ca.api.nutrislice.com/menu/api/messages/school/191/menu-type/114/,"114,","191,",
Dunmore High - Dunmore School District - PA,https://dunmore.nutrislice.com/menu/dunmore-high/lunch/2026-03-18,https://dunmore.api.nutrislice.com/menu/api/weeks/school/dunmore-high/menu-type/lunch/2026/03/01/,https://dunmore.api.nutrislice.com/menu/api/messages/school/951/menu-type/1071/,"1071,","951,",
Lakeland High School - Lakeland School District (PA) - PA,https://lakelandsd.nutrislice.com/menu/lakeland-high-school/lunch/2026-03-18,https://lakelandsd.api.nutrislice.com/menu/api/weeks/school/lakeland-high-school/menu-type/lunch/2026/03/01/,https://lakelandsd.api.nutrislice.com/menu/api/messages/school/297/menu-type/285/,"285,","297,",
Old Forge Jr/Sr High - Old Forge School District - PA,https://oldforgesd.nutrislice.com/menu/old-forge-jrsr-high/lunch/2026-03-18,https://oldforgesd.api.nutrislice.com/menu/api/weeks/school/old-forge-jrsr-high/menu-type/lunch/2026/03/01/,https://oldforgesd.api.nutrislice.com/menu/api/messages/school/194/menu-type/119/,"119,","194,",
